date,cases_sum,deaths_sum,week_number_ind,age_0_sum,age_1_10_sum,age_11_20_sum,age_21_30_sum,age_31_40_sum,age_41_50_sum,age_51_60_sum,age_61_70_sum,age_m70_sum,man_sum,woman_sum,unknownsex_sum,Data,codibge
2025-01-05,23,0,1,0,8,3,2,2,2,0,1,5,8,15,0,2025-01-05,3550308
2025-01-12,25,0,2,0,10,2,1,1,3,3,3,2,10,15,0,2025-01-12,3550308
2025-01-19,19,0,3,0,11,3,0,2,1,0,1,1,8,11,0,2025-01-19,3550308
2025-01-26,29,0,4,0,16,6,0,2,1,3,0,1,18,11,0,2025-01-26,3550308
2025-02-02,30,0,5,0,16,7,1,0,3,0,0,3,16,14,0,2025-02-02,3550308
2025-02-09,26,0,6,0,13,1,1,1,1,1,3,5,13,13,0,2025-02-09,3550308
2025-02-16,69,0,7,0,51,10,0,3,2,2,1,0,39,30,0,2025-02-16,3550308
2025-02-23,97,0,8,0,78,10,3,0,2,3,0,1,58,39,0,2025-02-23,3550308
2025-03-02,79,0,9,0,63,10,1,2,3,0,0,0,42,37,0,2025-03-02,3550308
2025-03-09,68,0,10,0,52,7,3,2,1,1,0,2,38,30,0,2025-03-09,3550308
2025-03-16,61,0,11,0,38,7,3,5,4,0,3,1,33,28,0,2025-03-16,3550308
2025-03-23,90,0,12,0,73,6,1,2,1,1,4,2,59,31,0,2025-03-23,3550308
2025-03-30,105,0,13,0,81,14,0,1,4,1,2,2,54,51,0,2025-03-30,3550308
2025-04-06,74,0,14,0,57,11,1,0,2,0,1,2,30,44,0,2025-04-06,3550308
2025-04-13,84,0,15,0,60,4,3,4,2,5,3,3,39,45,0,2025-04-13,3550308
2025-04-20,68,0,16,0,45,7,2,2,2,2,4,4,37,31,0,2025-04-20,3550308
2025-04-27,66,0,17,0,44,8,1,3,1,3,4,2,28,38,0,2025-04-27,3550308
2025-05-04,54,0,18,0,39,4,0,3,3,2,2,1,28,26,0,2025-05-04,3550308
2025-05-11,64,0,19,0,40,8,2,4,4,3,1,2,23,41,0,2025-05-11,3550308
2025-05-18,79,0,20,0,58,12,1,2,0,2,1,3,40,39,0,2025-05-18,3550308
2025-05-25,100,0,21,0,76,16,0,1,2,2,1,2,56,44,0,2025-05-25,3550308
2025-06-01,82,0,22,0,65,8,0,3,0,3,2,1,42,40,0,2025-06-01,3550308
2025-06-08,91,0,23,0,69,11,1,1,4,1,2,2,42,49,0,2025-06-08,3550308
2025-06-15,83,0,24,0,67,6,1,1,3,4,1,0,47,36,0,2025-06-15,3550308
2025-06-22,94,0,25,0,80,8,1,2,1,0,1,1,61,33,0,2025-06-22,3550308
2025-06-29,77,0,26,1,62,6,3,0,4,0,0,1,50,27,0,2025-06-29,3550308
2025-07-06,50,0,27,0,40,4,1,1,1,2,0,1,24,26,0,2025-07-06,3550308
2025-07-13,51,0,28,0,36,7,1,1,2,1,1,2,24,27,0,2025-07-13,3550308
2025-07-20,34,0,29,0,25,2,1,1,2,0,2,1,15,19,0,2025-07-20,3550308
2025-07-27,41,0,30,0,32,3,1,3,1,0,0,1,24,17,0,2025-07-27,3550308
2025-08-03,70,0,31,0,55,7,3,1,3,0,0,1,38,32,0,2025-08-03,3550308
2025-08-10,143,0,32,0,122,14,3,3,0,1,0,0,71,72,0,2025-08-10,3550308
2025-08-17,117,0,33,0,91,16,1,2,4,1,2,0,57,60,0,2025-08-17,3550308
2025-08-24,102,0,34,0,78,15,3,1,0,1,1,3,46,56,0,2025-08-24,3550308
2025-08-31,63,0,35,0,45,9,1,2,2,1,1,2,44,19,0,2025-08-31,3550308
2025-09-07,68,0,36,0,55,7,2,1,0,1,0,2,33,35,0,2025-09-07,3550308
2025-09-14,65,0,37,0,51,7,2,2,1,0,1,1,31,34,0,2025-09-14,3550308
2025-09-21,59,0,38,0,46,7,0,1,3,1,1,0,29,30,0,2025-09-21,3550308
2025-09-28,64,0,39,0,49,8,4,2,1,0,0,0,30,34,0,2025-09-28,3550308
2025-10-05,3,0,40,0,3,0,0,0,0,0,0,0,1,2,0,2025-10-05,3550308
